,supply_volume,demand_volume,demand_volume_energy,supply_volume_energy,price,max_price,min_price,node,product_start,product_end,only_hours,market_id,time,simulation
0,0.16284,0.16284,0.16284,0.16284,105.99,105.99,105.99,,2023-09-09 01:00:00,2023-09-09 02:00:00,,MGP,2023-09-09 01:00:00,retailer_world
1,0,0,0,0,0,0,0,,2023-09-09 01:00:00,2023-09-09 02:00:00,,MI1,2023-09-09 01:00:00,retailer_world
2,0,0,0,0,0,0,0,,2023-09-09 01:00:00,2023-09-09 02:00:00,,MI2,2023-09-09 01:00:00,retailer_world
3,0,0,0,0,0,0,0,,2023-09-09 01:00:00,2023-09-09 02:00:00,,MI3,2023-09-09 01:00:00,retailer_world
4,0,0,0,0,0,0,0,,2023-09-09 01:00:00,2023-09-09 02:00:00,,MI4,2023-09-09 01:00:00,retailer_world
5,0,0,0,0,0,0,0,,2023-09-09 01:00:00,2023-09-09 02:00:00,,MI5,2023-09-09 01:00:00,retailer_world
6,0,0,0,0,0,0,0,,2023-09-09 01:00:00,2023-09-09 02:00:00,,MI6,2023-09-09 01:00:00,retailer_world
7,0,0,0,0,0,0,0,,2023-09-09 01:00:00,2023-09-09 02:00:00,,MI7,2023-09-09 01:00:00,retailer_world
8,0.16284,0.16284,0.16284,0.16284,105.99,105.99,105.99,,2023-09-09 02:00:00,2023-09-09 03:00:00,,MGP,2023-09-09 02:00:00,retailer_world
9,0,0,0,0,0,0,0,,2023-09-09 02:00:00,2023-09-09 03:00:00,,MI1,2023-09-09 02:00:00,retailer_world
10,0,0,0,0,0,0,0,,2023-09-09 02:00:00,2023-09-09 03:00:00,,MI2,2023-09-09 02:00:00,retailer_world
11,0,0,0,0,0,0,0,,2023-09-09 02:00:00,2023-09-09 03:00:00,,MI3,2023-09-09 02:00:00,retailer_world
12,0,0,0,0,0,0,0,,2023-09-09 02:00:00,2023-09-09 03:00:00,,MI4,2023-09-09 02:00:00,retailer_world
13,0,0,0,0,0,0,0,,2023-09-09 02:00:00,2023-09-09 03:00:00,,MI5,2023-09-09 02:00:00,retailer_world
14,0,0,0,0,0,0,0,,2023-09-09 02:00:00,2023-09-09 03:00:00,,MI6,2023-09-09 02:00:00,retailer_world
15,0,0,0,0,0,0,0,,2023-09-09 02:00:00,2023-09-09 03:00:00,,MI7,2023-09-09 02:00:00,retailer_world
16,0.11073,0.11073,0.11073,0.11073,105.99,105.99,105.99,,2023-09-09 03:00:00,2023-09-09 04:00:00,,MGP,2023-09-09 03:00:00,retailer_world
17,0,0,0,0,0,0,0,,2023-09-09 03:00:00,2023-09-09 04:00:00,,MI1,2023-09-09 03:00:00,retailer_world
18,0,0,0,0,0,0,0,,2023-09-09 03:00:00,2023-09-09 04:00:00,,MI2,2023-09-09 03:00:00,retailer_world
19,0,0,0,0,0,0,0,,2023-09-09 03:00:00,2023-09-09 04:00:00,,MI3,2023-09-09 03:00:00,retailer_world
20,0,0,0,0,0,0,0,,2023-09-09 03:00:00,2023-09-09 04:00:00,,MI4,2023-09-09 03:00:00,retailer_world
21,0,0,0,0,0,0,0,,2023-09-09 03:00:00,2023-09-09 04:00:00,,MI5,2023-09-09 03:00:00,retailer_world
22,0,0,0,0,0,0,0,,2023-09-09 03:00:00,2023-09-09 04:00:00,,MI6,2023-09-09 03:00:00,retailer_world
23,0.000283,0.000283,0.000283,0.000283,106.29,106.29,106.29,,2023-09-09 03:00:00,2023-09-09 04:00:00,,MI7,2023-09-09 03:00:00,retailer_world
24,0.16284,0.16284,0.16284,0.16284,105.99,105.99,105.99,,2023-09-09 04:00:00,2023-09-09 05:00:00,,MGP,2023-09-09 04:00:00,retailer_world
25,0,0,0,0,0,0,0,,2023-09-09 04:00:00,2023-09-09 05:00:00,,MI1,2023-09-09 04:00:00,retailer_world
